iter	MultiClass
0	1.059069642
1	1.026491276
2	0.9949744967
3	0.968457435
4	0.9453354549
5	0.9206619891
6	0.9006345652
7	0.8805679443
8	0.863325232
9	0.8451620625
10	0.8289337301
11	0.8151677279
12	0.8021000296
13	0.7891607005
14	0.7769309389
15	0.7648979338
16	0.7530949855
17	0.7439573442
18	0.7346783058
19	0.7278119892
20	0.7197054806
21	0.7134935776
22	0.7066649196
23	0.7011100132
24	0.6945543724
25	0.6876422421
26	0.681306111
27	0.6768641264
28	0.6723561508
29	0.6677351499
30	0.6629576135
31	0.6582838863
32	0.6549281957
33	0.6507264209
34	0.6467467359
35	0.6430136781
36	0.6397066591
37	0.6364307106
38	0.6340582292
39	0.631318342
40	0.62810283
41	0.6246914151
42	0.6220078973
43	0.6198724635
44	0.6172246345
45	0.6151117014
46	0.6129812227
47	0.6108914502
48	0.6090982208
49	0.6069434287
50	0.6045351001
51	0.6026468902
52	0.6004147342
53	0.5985400814
54	0.5963908648
55	0.5949925111
56	0.5932592066
57	0.5917184485
58	0.5903578908
59	0.5883029915
60	0.5869197591
61	0.5853244035
62	0.583968051
63	0.5820892179
64	0.5807237127
65	0.5795394378
66	0.5778020528
67	0.5764503215
68	0.5750838945
69	0.5741176706
70	0.573343817
71	0.5724256402
72	0.5710393143
73	0.570303168
74	0.5685509228
75	0.567108584
76	0.5654402272
77	0.564053836
78	0.5630361293
79	0.5622918175
80	0.5602565151
81	0.558940629
82	0.5579802336
83	0.5567067684
84	0.5559599153
85	0.5552167111
86	0.5540791685
87	0.5530960886
88	0.5517657888
89	0.5507240055
90	0.5496924578
91	0.5487795113
92	0.5479967026
93	0.5471089576
94	0.5460372899
95	0.545059648
96	0.5440889372
97	0.5432124173
98	0.5420137881
99	0.5410812156
100	0.5403829114
101	0.5395660935
102	0.5387671711
103	0.5377050463
104	0.5373146854
105	0.5366195173
106	0.5360952558
107	0.5350515169
108	0.5336131701
109	0.5330430942
110	0.5319475098
111	0.5314657418
112	0.5304892359
113	0.5298173378
114	0.5287322726
115	0.5277485745
116	0.5269478641
117	0.5258298141
118	0.5252852779
119	0.5247430058
120	0.5242048713
121	0.5234570925
122	0.5228133683
123	0.5221525422
124	0.5217597327
125	0.5212608352
126	0.5206604563
127	0.5200699848
128	0.5190343583
129	0.5181077546
130	0.5171971628
131	0.5168707584
132	0.5161535757
133	0.5152701117
134	0.514601206
135	0.5142372572
136	0.5137055426
137	0.5128021057
138	0.5123113681
139	0.5119026974
140	0.5114219764
141	0.5110714779
142	0.5104815075
143	0.5100612835
144	0.509347381
145	0.5086812053
146	0.508251782
147	0.5080471177
148	0.5077718729
149	0.5074099214
150	0.5070067134
151	0.5065373642
152	0.5057703841
153	0.5053225882
154	0.504909104
155	0.5041357549
156	0.5032729258
157	0.50270403
158	0.5019923731
159	0.5012092461
160	0.5006048636
161	0.4996537998
162	0.499104229
163	0.4981943884
164	0.497430996
165	0.4969341988
166	0.4963721919
167	0.4960463552
168	0.4954680247
169	0.4947142934
170	0.4945509305
171	0.4941979019
172	0.4937230817
173	0.4930842307
174	0.4923598632
175	0.4914489285
176	0.4909027888
177	0.4903043289
178	0.4898225986
179	0.4892405444
180	0.4885356874
181	0.4881628477
182	0.487482066
183	0.4866880785
184	0.4858005417
185	0.4853540272
186	0.4847695782
187	0.4839295237
188	0.4836781723
189	0.4831459953
190	0.4825710077
191	0.4820792988
192	0.4815930285
193	0.4808559365
194	0.4803928551
195	0.4794617936
196	0.4788622102
197	0.4774285339
198	0.4771135529
199	0.4765068542
200	0.4758334419
201	0.4754345388
202	0.4746948994
203	0.4741447946
204	0.4734829561
205	0.4728778529
206	0.4718583624
207	0.4712747078
208	0.4710607118
209	0.4706961166
210	0.470138049
211	0.4698358968
212	0.4697152183
213	0.469230868
214	0.468314879
215	0.4671568677
216	0.4669107132
217	0.4662057121
218	0.4656535024
219	0.4651064973
220	0.464870077
221	0.4644428214
222	0.4638190516
223	0.4631512733
224	0.4628789022
225	0.4625080394
226	0.4623381481
227	0.461788204
228	0.4610865888
229	0.4607497223
230	0.4601267784
231	0.4598412582
232	0.4595136189
233	0.4591629096
234	0.4587533894
235	0.4584012031
236	0.4582361381
237	0.4580137671
238	0.4575797127
239	0.4568147181
240	0.4563932743
241	0.4561468826
242	0.4557186506
243	0.4551499509
244	0.4549772211
245	0.4546276082
246	0.4541555886
247	0.4538833742
248	0.4527305721
249	0.4523042398
250	0.4517495716
251	0.4511908001
252	0.4508308558
253	0.4501456616
254	0.449109432
255	0.4487355765
256	0.4485193225
257	0.4479024982
258	0.4477145861
259	0.4474465825
260	0.4473394428
261	0.4468023673
262	0.4463115097
263	0.4456011577
264	0.4448886074
265	0.4443709009
266	0.4439893688
267	0.4434950344
268	0.4425430801
269	0.4417571865
270	0.4412976609
271	0.4407426088
272	0.4399646017
273	0.4392537722
274	0.4389387363
275	0.4385355468
276	0.437671725
277	0.4372172718
278	0.4367079908
279	0.4365314937
280	0.435714165
281	0.4350532321
282	0.4346725082
283	0.4340594751
284	0.4338643933
285	0.4336586998
286	0.4330982258
287	0.4325742884
288	0.4320463809
289	0.4314976149
290	0.4310912896
291	0.4307502667
292	0.4301066249
293	0.4296002661
294	0.4291496041
295	0.4286667018
296	0.4283816894
297	0.4279292501
298	0.4274390449
299	0.426618205
300	0.4263327351
301	0.4260860345
302	0.4257712198
303	0.4256003881
304	0.4253193253
305	0.4250245953
306	0.4246438549
307	0.4242947325
308	0.4238613214
309	0.4236416921
310	0.4232416816
311	0.4228260341
312	0.4226605453
313	0.4222693953
314	0.4216565644
315	0.4213875803
316	0.4209004434
317	0.4207285585
318	0.4200793399
319	0.4196812134
320	0.419387497
321	0.4190485739
322	0.4187582915
323	0.4182748063
324	0.4176433354
325	0.4174694464
326	0.4172138248
327	0.4168838603
328	0.4163983367
329	0.4158722204
330	0.4156443021
331	0.415233692
332	0.4147055179
333	0.4142887321
334	0.4139692931
335	0.4133375546
336	0.4131179207
337	0.412851521
338	0.4125531158
339	0.4123082588
340	0.4119981487
341	0.4113876807
342	0.4110071687
343	0.4105386783
344	0.4104243677
345	0.4101084435
346	0.4097929015
347	0.4094900299
348	0.4087839458
349	0.4086561232
350	0.4081965358
351	0.4076894742
352	0.4070662448
353	0.4068436682
354	0.4064433555
355	0.4059219676
356	0.4055685217
357	0.4050838394
358	0.4049796266
359	0.4045835398
360	0.4040183553
361	0.4036233607
362	0.4028534181
363	0.4024849576
364	0.4019300385
365	0.4016197669
366	0.401561103
367	0.4013529283
368	0.4010994332
369	0.4005802998
370	0.4003746879
371	0.4002119043
372	0.399940557
373	0.3995869781
374	0.3993439141
375	0.3989847913
376	0.3988995855
377	0.3984459652
378	0.3980397564
379	0.397744198
380	0.3971137023
381	0.396714069
382	0.3965732357
383	0.3964278819
384	0.3960002994
385	0.3957589963
386	0.3954860487
387	0.3951277633
388	0.3947874392
389	0.3942722005
390	0.3940357835
391	0.3939178622
392	0.3934564949
393	0.392868089
394	0.3924086251
395	0.3920578585
396	0.3914933731
397	0.3912898703
398	0.3909070191
399	0.3906937349
400	0.3899930458
401	0.3895673473
402	0.3891765773
403	0.3887913045
404	0.3881517061
405	0.3878173048
406	0.3873607214
407	0.3870261381
408	0.3868649274
409	0.3864180728
410	0.3863226564
411	0.3861236481
412	0.3857403386
413	0.3855037305
414	0.3852928023
415	0.3850572019
416	0.3846442905
417	0.3841530251
418	0.3839603272
419	0.3836939854
420	0.3832019361
421	0.3829037133
422	0.382365459
423	0.3817791643
424	0.3813946593
425	0.3810857714
426	0.3809953785
427	0.3808480566
428	0.3804425949
429	0.3799681927
430	0.3796910624
431	0.3796145583
432	0.3790910733
433	0.3790112184
434	0.3784482025
435	0.3782433801
436	0.3777066741
437	0.3774922083
438	0.3769995331
439	0.376703757
440	0.3766252491
441	0.3760950171
442	0.3755940721
443	0.3752904861
444	0.3748221977
445	0.3746035995
446	0.3743359594
447	0.3739499847
448	0.3738219612
449	0.3732837975
450	0.3729310347
451	0.372443764
452	0.3720694049
453	0.3719194271
454	0.3714474276
455	0.3708459056
456	0.3706040184
457	0.3701222345
458	0.3698249336
459	0.3694751529
460	0.3692643635
461	0.3689886437
462	0.3685549124
463	0.3682146535
464	0.3680102571
465	0.3675378447
466	0.3672279302
467	0.3670271711
468	0.3668511014
469	0.3667677646
470	0.3664624064
471	0.3662035082
472	0.365875061
473	0.3656439227
474	0.3651566275
475	0.3649027731
476	0.3646743366
477	0.3643246305
478	0.363816651
479	0.3635886481
480	0.3632396424
481	0.3629824678
482	0.3626063712
483	0.3621308691
484	0.3620037996
485	0.3615634328
486	0.3613307482
487	0.3611822422
488	0.3609062099
489	0.3606783416
490	0.3601279363
491	0.3599306794
492	0.3595470534
493	0.3589882557
494	0.3584972099
495	0.3581802161
496	0.3579740807
497	0.3578213357
498	0.3574235093
499	0.3572187779
500	0.3569988876
501	0.3567604696
502	0.3565206601
503	0.3560090605
504	0.3557615345
505	0.3553380768
506	0.3550264308
507	0.3548445723
508	0.3542608624
509	0.3540600388
510	0.3535423613
511	0.3532404986
512	0.3528509423
513	0.352247333
514	0.352026795
515	0.3516339327
516	0.3512472197
517	0.3510041382
518	0.3506879216
519	0.35033292
520	0.3501417747
521	0.3497958412
522	0.3492811793
523	0.349047447
524	0.3489218598
525	0.3485373825
526	0.34821907
527	0.3478775313
528	0.3477788263
529	0.3475908086
530	0.3473687491
531	0.3470916642
532	0.3464439468
533	0.3460605495
534	0.3458544878
535	0.3453617133
536	0.3449297125
537	0.3447501895
538	0.3442189877
539	0.3439617504
540	0.3437354748
541	0.3435220489
542	0.3432815886
543	0.3428652706
544	0.3422982712
545	0.3422815325
546	0.3421546882
547	0.3420277078
548	0.341924855
549	0.341675578
550	0.3414530111
551	0.3411377797
552	0.3409154804
553	0.3406454553
554	0.3405850198
555	0.3403652522
556	0.3400557884
557	0.3397853009
558	0.3396165371
559	0.3394088878
560	0.3390330056
561	0.3389451296
562	0.3385258297
563	0.3381805965
564	0.3380157655
565	0.3375298127
566	0.3372793829
567	0.3372407117
568	0.3369113878
569	0.3364910272
570	0.336225707
571	0.3360929022
572	0.3356004371
573	0.3355288741
574	0.3353010556
575	0.3349062011
576	0.3347463316
577	0.3344757986
578	0.3340756101
579	0.3339867155
580	0.3334286728
581	0.3332708436
582	0.3329495814
583	0.3326051008
584	0.3323547337
585	0.3321319244
586	0.3317238249
587	0.3314442695
588	0.3313260713
589	0.3308592808
590	0.3305116813
591	0.3302562102
592	0.3300341928
593	0.3298407582
594	0.3295728018
595	0.3290538402
596	0.3288648967
597	0.3286047676
598	0.3284539641
599	0.3280045644
600	0.3276675209
601	0.3275303262
602	0.3272806858
603	0.3270254929
604	0.3264754203
605	0.3262006923
606	0.325823924
607	0.325477124
608	0.3250952769
609	0.3249878411
610	0.3245414688
611	0.3244079956
612	0.323948319
613	0.3237672829
614	0.3234931242
615	0.3234007089
616	0.3230206733
617	0.3225800427
618	0.3224244003
619	0.3222482888
620	0.3218233903
621	0.3215934609
622	0.3210361846
623	0.3206126435
624	0.3203361686
625	0.3198725755
626	0.3197035359
627	0.3194578309
628	0.3193732036
629	0.3192261885
630	0.3190710939
631	0.3187607599
632	0.318466438
633	0.3182079779
634	0.3181217064
635	0.317852909
636	0.3175566039
637	0.3173283684
638	0.3171056655
639	0.316817332
640	0.3163322791
641	0.3160596173
642	0.3159136178
643	0.3157011702
644	0.3156278216
645	0.3155003501
646	0.3150925501
647	0.3148092981
648	0.3145384497
649	0.3139974977
650	0.3138447608
651	0.3134922038
652	0.3132128717
653	0.3126882189
654	0.3123946229
655	0.3120956667
656	0.3116481171
657	0.3113883164
658	0.3111947607
659	0.3107951966
660	0.3106378481
661	0.3104589447
662	0.3103793072
663	0.3101156415
664	0.3099063087
665	0.3098022119
666	0.3095670273
667	0.3092486921
668	0.3088174409
669	0.3085148243
670	0.3080432555
671	0.30787176
672	0.3076339946
673	0.3072974079
674	0.3072110901
675	0.3067452699
