iter	Passed	Remaining
0	3	3339
1	6	3219
2	10	3394
3	13	3332
4	16	3294
5	19	3280
6	22	3251
7	25	3198
8	29	3223
9	32	3177
10	34	3127
11	37	3084
12	39	3036
13	42	3001
14	45	2976
15	47	2950
16	50	2927
17	53	2901
18	55	2886
19	58	2865
20	61	2849
21	63	2832
22	66	2813
23	69	2809
24	71	2795
25	74	2791
26	77	2794
27	80	2780
28	82	2773
29	85	2762
30	88	2758
31	90	2750
32	93	2739
33	96	2735
34	98	2724
35	101	2718
36	104	2710
37	106	2702
38	109	2695
39	111	2687
40	114	2678
41	117	2671
42	119	2663
43	122	2655
44	124	2647
45	127	2641
46	130	2637
47	132	2629
48	135	2624
49	137	2619
50	140	2612
51	143	2611
52	145	2605
53	148	2600
54	151	2597
55	153	2591
56	156	2584
57	158	2579
58	161	2576
59	164	2580
60	167	2579
61	170	2576
62	172	2570
63	175	2565
64	178	2561
65	180	2555
66	183	2552
67	185	2547
68	188	2541
69	191	2539
70	193	2532
71	196	2529
72	198	2526
73	201	2522
74	204	2520
75	206	2515
76	209	2511
77	212	2507
78	214	2503
79	217	2499
80	219	2494
81	222	2491
82	225	2487
83	227	2483
84	230	2479
85	232	2474
86	235	2471
87	238	2468
88	240	2463
89	243	2461
90	245	2457
91	248	2453
92	251	2449
93	253	2445
94	256	2442
95	259	2440
96	261	2435
97	264	2433
98	266	2429
99	269	2425
100	272	2421
101	274	2417
102	277	2414
103	279	2410
104	282	2406
105	285	2404
106	287	2400
107	290	2397
108	292	2393
109	295	2390
110	298	2387
111	300	2383
112	303	2380
113	305	2377
114	308	2374
115	311	2372
116	313	2369
117	316	2365
118	319	2363
119	321	2360
120	324	2358
121	327	2355
122	329	2351
123	332	2348
124	335	2346
125	337	2343
126	340	2341
127	343	2338
128	345	2335
129	348	2332
130	351	2331
131	354	2330
132	357	2328
133	360	2328
134	363	2326
135	366	2325
136	368	2323
137	372	2323
138	374	2322
139	377	2320
140	380	2318
141	383	2314
142	385	2311
143	388	2307
144	390	2305
145	393	2301
146	396	2298
147	398	2295
148	401	2291
149	403	2287
150	406	2284
151	409	2281
152	411	2280
153	414	2276
154	416	2273
155	419	2270
156	422	2266
157	424	2264
158	427	2260
159	430	2257
160	432	2255
161	435	2251
162	437	2248
163	440	2246
164	443	2243
165	445	2240
