iter	MultiClass
0	1.02132351
1	0.9610430518
2	0.9109297049
3	0.8699420426
4	0.8373731324
5	0.8060962381
6	0.7811911899
7	0.7607636363
8	0.7404724128
9	0.7257052173
10	0.7120638366
11	0.6981451373
12	0.6860295532
13	0.6779118267
14	0.6684020542
15	0.658763532
16	0.6506859307
17	0.642606314
18	0.6373320404
19	0.6318527063
20	0.6259847159
21	0.620981807
22	0.6160294601
23	0.6102648206
24	0.6062073626
25	0.6012910541
26	0.5968879626
27	0.5919349639
28	0.5875380864
29	0.5850011595
30	0.5813644999
31	0.5791573074
32	0.5755372686
33	0.572511277
34	0.5693054912
35	0.5665578023
36	0.5639765401
37	0.5626010384
38	0.5604899494
39	0.5580638349
40	0.5566266906
41	0.5546418032
42	0.5521619928
43	0.5508756252
44	0.5493186079
45	0.5476271526
46	0.5460948324
47	0.5427850052
48	0.5413816474
49	0.5400855867
50	0.5387203255
51	0.5367994109
52	0.5350613567
53	0.5332589879
54	0.5315660515
55	0.5303568279
56	0.5288514092
57	0.5273030825
58	0.5259719466
59	0.524463282
60	0.5233853058
61	0.5223963702
62	0.5207117249
63	0.5185489775
64	0.5178941932
65	0.5160503948
66	0.5147462201
67	0.5124652903
68	0.5113996227
69	0.5102795862
70	0.5094809963
71	0.5075515434
72	0.5058856664
73	0.5043300131
74	0.5024244488
75	0.5009824649
76	0.4990592091
77	0.4972683125
78	0.495670987
79	0.4938735822
80	0.4929289251
81	0.4916705892
82	0.4899406034
83	0.4882142584
84	0.4872176954
85	0.4861159112
86	0.4844127678
87	0.4825948038
88	0.4817346243
89	0.4805327997
90	0.4791440841
91	0.4776023135
92	0.4761595424
93	0.4750214311
94	0.4733902209
95	0.4723687826
96	0.4715512725
97	0.4704817351
98	0.4690354724
99	0.4679243012
100	0.4670120879
101	0.4650355401
102	0.4633471507
103	0.4620696834
104	0.4606640498
105	0.4595500791
106	0.4578965768
107	0.4563939587
108	0.4555143247
109	0.4542421902
110	0.4528770503
111	0.4516458937
112	0.4499021895
113	0.4491522384
114	0.4477292274
115	0.446701656
116	0.4450035743
117	0.4438809683
118	0.44279654
119	0.4409464987
120	0.4403386197
121	0.4389671153
122	0.4380457375
123	0.4358652401
124	0.4349451588
125	0.4337453315
126	0.4327376067
127	0.4310339737
128	0.4295291682
129	0.4286602412
130	0.4280239529
131	0.4272961518
132	0.4261210998
133	0.4242819506
134	0.423108382
135	0.4223554817
136	0.420443145
137	0.4199681058
138	0.419346726
139	0.4186520658
140	0.4178165471
141	0.4161564342
142	0.4155016008
143	0.4138123244
144	0.4127753769
145	0.4115685334
146	0.4102399217
147	0.4090673927
148	0.4078605013
149	0.4061711079
150	0.405090956
151	0.4045700035
152	0.4036391328
153	0.4024680848
154	0.401664501
155	0.4005819286
156	0.3995798419
157	0.3986848853
158	0.3980104502
159	0.3973074036
160	0.3960828786
161	0.3948057915
162	0.3941698571
163	0.3930878127
164	0.3921321185
165	0.390877876
166	0.3904962372
167	0.3892552901
168	0.3881240433
169	0.3871588131
170	0.3858999161
171	0.3847866946
172	0.3837779719
173	0.3825255896
174	0.3814614243
175	0.3804129893
176	0.3790275854
177	0.3781688326
178	0.3773885473
179	0.3762880312
180	0.3753683633
181	0.3743183083
182	0.3733128657
183	0.3722435428
184	0.3712196356
