iter	Passed	Remaining
0	78	19338
1	156	19307
2	236	19289
3	316	19314
4	397	19339
5	476	19216
6	554	19100
7	630	18928
8	710	18866
9	790	18822
10	865	18655
11	941	18525
12	1021	18468
13	1101	18406
14	1179	18324
15	1257	18233
16	1338	18181
17	1419	18134
18	1496	18039
19	1576	17976
20	1655	17894
21	1733	17810
22	1812	17730
23	1890	17648
24	1969	17565
25	2047	17482
26	2126	17403
27	2204	17319
28	2281	17226
29	2363	17171
30	2442	17096
31	2522	17029
32	2612	17022
33	2687	16918
34	2764	16825
35	2835	16695
36	2915	16628
37	2994	16551
38	3078	16497
39	3164	16456
40	3247	16396
41	3333	16352
42	3415	16285
43	3499	16222
44	3582	16160
45	3665	16095
46	3750	16038
47	3837	15991
48	3926	15945
49	4009	15877
50	4091	15805
51	4174	15736
52	4256	15661
53	4339	15588
54	4419	15507
55	4501	15433
56	4585	15365
57	4670	15298
58	4754	15230
59	4837	15157
60	4919	15080
61	4997	14993
62	5079	14917
63	5157	14827
64	5238	14749
65	5323	14678
66	5402	14594
67	5484	14517
68	5566	14439
69	5648	14364
70	5727	14279
71	5808	14199
72	5888	14117
73	5962	14018
74	6041	13936
75	6122	13856
76	6203	13777
77	6283	13695
78	6367	13622
79	6450	13545
80	6531	13465
81	6613	13388
82	6695	13310
83	6780	13237
84	6864	13163
85	6941	13075
86	7020	12991
87	7102	12912
88	7179	12825
89	7263	12750
90	7346	12674
91	7430	12599
92	7513	12522
93	7594	12442
94	7677	12364
95	7759	12285
96	7843	12210
97	7924	12129
98	8005	12048
99	8085	11966
100	8166	11886
101	8249	11808
102	8336	11735
103	8419	11658
104	8504	11581
105	8586	11502
106	8664	11418
107	8730	11317
108	8812	11237
109	8894	11158
110	8975	11078
111	9058	10999
112	9139	10918
113	9221	10839
114	9302	10757
115	9384	10678
116	9469	10602
117	9552	10524
118	9637	10447
119	9719	10367
120	9801	10287
121	9877	10201
122	9960	10122
123	10039	10039
124	10122	9960
125	10203	9880
126	10288	9802
127	10373	9725
128	10459	9648
129	10542	9569
130	10625	9489
131	10709	9411
132	10788	9328
133	10870	9248
134	10952	9167
135	11035	9088
136	11117	9007
137	11196	8924
138	11281	8846
139	11364	8766
140	11444	8685
141	11525	8603
142	11606	8521
143	11687	8440
144	11770	8360
145	11852	8280
146	11934	8200
147	12017	8119
148	12113	8048
149	12197	7968
150	12276	7886
151	12359	7805
152	12439	7723
153	12521	7642
154	12603	7562
155	12684	7480
156	12764	7398
157	12849	7319
158	12932	7239
159	13015	7158
160	13096	7077
161	13179	6996
162	13253	6911
163	13339	6832
164	13429	6755
165	13512	6674
166	13594	6593
167	13679	6513
168	13761	6432
169	13847	6353
170	13932	6273
171	14015	6192
172	14097	6111
173	14183	6032
174	14266	5950
175	14354	5872
176	14438	5791
177	14522	5711
178	14606	5630
179	14687	5548
180	14770	5467
181	14852	5386
182	14936	5305
183	15021	5224
184	15105	5143
185	15188	5062
186	15269	4981
187	15351	4899
188	15432	4817
189	15514	4735
190	15598	4655
191	15682	4574
192	15763	4492
193	15846	4410
194	15928	4329
195	16010	4247
196	16091	4165
197	16175	4084
198	16257	4003
199	16339	3921
200	16421	3839
201	16504	3758
202	16586	3676
203	16669	3595
204	16751	3513
205	16833	3432
206	16917	3350
207	17001	3269
208	17083	3187
209	17166	3106
210	17248	3024
211	17333	2943
212	17414	2861
213	17493	2779
214	17571	2697
215	17654	2615
216	17736	2533
217	17819	2452
218	17904	2370
219	17986	2289
220	18067	2207
221	18151	2125
222	18235	2044
223	18317	1962
224	18401	1881
225	18484	1799
226	18566	1717
227	18646	1635
228	18730	1554
229	18811	1472
230	18891	1390
231	18974	1308
232	19054	1226
233	19133	1144
234	19217	1063
235	19302	981
236	19385	899
237	19468	818
238	19547	736
239	19628	654
240	19710	572
241	19793	490
242	19873	408
243	19956	327
244	20036	245
245	20119	163
246	20211	81
247	20293	0
