iter	MultiClass
0	1.038359478
1	0.9816445124
2	0.9391425375
3	0.9025040259
4	0.8717247632
5	0.8412367211
6	0.8108643455
7	0.7866343384
8	0.762613642
9	0.7434168121
10	0.7241739546
11	0.7053485375
12	0.689777311
13	0.675754829
14	0.6619660117
15	0.650471983
16	0.6396382419
17	0.627932898
18	0.6194675121
19	0.6083158199
20	0.5982824021
21	0.5876850237
22	0.5770332212
23	0.5676190932
24	0.5604406374
25	0.5536000627
26	0.5472875754
27	0.5405622893
28	0.5340124995
29	0.5283235524
30	0.5216833877
31	0.515081667
32	0.5104194262
33	0.5044940822
34	0.4984195228
35	0.4918187083
36	0.4853272528
37	0.4794526486
38	0.474560069
39	0.4702058599
40	0.4658876603
41	0.4615995567
42	0.4565979497
43	0.4520206503
44	0.4468339619
45	0.4429266709
46	0.4388042482
47	0.43257218
48	0.4296080772
49	0.4255569837
50	0.4219012603
51	0.4179321748
52	0.4155286059
53	0.4111500229
54	0.4082401621
55	0.4055787052
56	0.4025169826
57	0.3990177553
58	0.3948119843
59	0.3925333395
60	0.3892129265
61	0.387529924
62	0.3833671868
63	0.3808924204
64	0.3786176654
65	0.3756342371
66	0.3731075431
67	0.3691355915
68	0.3661433163
69	0.363161482
70	0.3608370158
71	0.3586566546
72	0.3551473261
73	0.3526918139
74	0.3503658711
75	0.3495316433
76	0.3470849348
77	0.3459379467
78	0.3421577241
79	0.3398575656
80	0.3375360464
81	0.3356395347
82	0.333240485
83	0.3314901686
84	0.328410691
85	0.3255602894
86	0.3239755915
87	0.3210605133
88	0.3188975895
89	0.3162469791
90	0.3134366715
91	0.3107605916
92	0.3092427946
93	0.3060267405
94	0.3043188699
95	0.3008744461
96	0.2994921101
97	0.2959884096
98	0.2933788537
99	0.2907482802
100	0.2880243503
101	0.2850559476
102	0.2826313779
103	0.280893142
104	0.2779639541
105	0.2759143711
106	0.2728724036
107	0.2706886267
108	0.2681968751
109	0.2659345088
110	0.264586885
111	0.2629555022
112	0.2599822187
113	0.2584044211
114	0.2565969825
115	0.2541543942
116	0.2522528652
117	0.2505172133
118	0.2496219535
119	0.2480413996
120	0.246137809
121	0.2445643837
122	0.2432226592
123	0.2409093779
124	0.2392146843
125	0.2373396579
126	0.2351260125
127	0.2330300791
128	0.2309689016
129	0.2293913741
130	0.2267692331
131	0.2250335783
132	0.2235899152
133	0.22163488
134	0.2190809754
135	0.2172605607
136	0.2157383038
137	0.2141791145
138	0.212616191
139	0.2106220868
140	0.2092861903
141	0.2080291041
142	0.2066217259
143	0.2054358927
144	0.2034892394
145	0.2022954904
146	0.2004991985
147	0.1988309739
148	0.1975520087
149	0.195950835
150	0.1943519383
151	0.1931637723
152	0.1920304854
153	0.1907520183
154	0.1891853085
155	0.1880654358
156	0.1868092785
157	0.1856578242
158	0.1848815317
159	0.1832131651
160	0.1821386831
161	0.1803051631
162	0.1787367479
163	0.1774646519
164	0.1760411542
165	0.1750365415
166	0.174049229
167	0.1725376645
168	0.1710619126
169	0.1698833307
170	0.1687049149
171	0.1672517223
172	0.1660894821
173	0.1649025056
174	0.1638788263
175	0.1628890278
176	0.1622010588
177	0.1609353675
178	0.1599803821
179	0.1586254594
180	0.1574488566
181	0.1566472874
182	0.1553154739
183	0.1539479324
184	0.1530270072
185	0.1520760579
186	0.1509562444
187	0.1500183461
188	0.1490374012
189	0.1480407097
190	0.1471271795
191	0.1457409504
192	0.1445891483
193	0.1440051487
194	0.1431262897
195	0.1423206584
196	0.1413771183
197	0.1405551725
198	0.1394362069
199	0.1386915988
200	0.1378134247
201	0.1372085548
202	0.1364053174
203	0.1355576076
204	0.1346823095
205	0.1337707558
206	0.1330997108
207	0.1325019801
208	0.1315407614
209	0.1306339998
210	0.1299205158
211	0.1291348621
212	0.1283962765
213	0.1274434052
214	0.1264890219
215	0.1257642504
216	0.1249525492
217	0.1239095616
218	0.1229481698
219	0.1222872315
220	0.1218119061
221	0.1210421248
222	0.1202034942
223	0.1195540891
