iter	Passed	Remaining
0	114	25438
1	220	24478
2	330	24311
3	424	23340
4	528	23144
5	629	22855
6	729	22605
7	825	22296
8	922	22046
9	1025	21940
10	1121	21721
11	1224	21624
12	1326	21529
13	1430	21457
14	1535	21397
15	1634	21252
16	1738	21167
17	1844	21110
18	1969	21246
19	2073	21150
20	2172	21001
21	2279	20925
22	2355	20584
23	2431	20263
24	2511	19989
25	2583	19670
26	2658	19398
27	2726	19087
28	2797	18808
29	2882	18637
30	2979	18547
31	3077	18465
32	3174	18375
33	3274	18296
34	3371	18206
35	3473	18141
36	3573	18058
37	3686	18043
38	3787	17966
39	3884	17869
40	3981	17772
41	4083	17695
42	4186	17621
43	4281	17514
44	4377	17412
45	4480	17336
46	4586	17271
47	4688	17190
48	4799	17139
49	4910	17088
50	5013	17008
51	5111	16907
52	5214	16824
53	5318	16744
54	5418	16648
55	5514	16544
56	5616	16455
57	5720	16372
58	5796	16209
59	5874	16056
60	5947	15893
61	6018	15726
62	6097	15582
63	6172	15430
64	6247	15281
65	6335	15167
66	6433	15074
67	6536	14994
68	6634	14903
69	6747	14843
70	6849	14760
71	6945	14662
72	7049	14581
73	7157	14508
74	7255	14414
75	7355	14323
76	7454	14230
77	7555	14141
78	7664	14067
79	7778	14001
80	7880	13913
81	7976	13812
82	8076	13720
83	8187	13645
84	8287	13551
85	8389	13462
86	8485	13362
87	8596	13285
88	8692	13184
89	8791	13089
90	8888	12991
91	8991	12901
92	9089	12803
93	9191	12711
94	9292	12617
95	9402	12536
96	9498	12436
97	9600	12343
98	9699	12247
99	9813	12168
100	9909	12067
101	10008	11971
102	10108	11875
103	10209	11779
104	10306	11680
105	10403	11580
106	10497	11478
107	10594	11378
108	10687	11276
109	10778	11170
110	10875	11071
111	10968	10968
112	11062	10867
113	11160	10768
114	11256	10668
115	11349	10567
116	11442	10464
117	11543	10369
118	11643	10273
119	11739	10174
120	11834	10073
121	11925	9970
122	12019	9869
123	12118	9772
124	12218	9677
125	12314	9577
126	12407	9476
127	12503	9377
128	12602	9281
129	12698	9181
130	12792	9081
131	12886	8981
132	12983	8883
133	13078	8783
134	13172	8684
135	13267	8584
136	13369	8490
137	13475	8398
138	13565	8295
139	13665	8199
140	13767	8104
141	13865	8007
142	13964	7909
143	14058	7810
144	14159	7714
145	14252	7614
146	14348	7515
147	14441	7416
148	14535	7316
149	14631	7218
150	14733	7123
151	14808	7014
152	14884	6907
153	14961	6800
154	15028	6690
155	15096	6580
156	15168	6473
157	15273	6380
158	15342	6272
159	15427	6170
160	15520	6073
161	15611	5974
162	15708	5878
163	15799	5780
164	15894	5683
165	15989	5586
166	16086	5490
167	16185	5395
168	16284	5299
169	16378	5202
170	16473	5105
171	16567	5008
172	16662	4911
173	16755	4814
174	16851	4718
175	16947	4622
176	17044	4526
177	17137	4428
178	17234	4332
179	17329	4236
180	17422	4139
181	17518	4042
182	17613	3946
183	17707	3849
184	17801	3752
185	17894	3655
186	17988	3559
187	18085	3463
188	18181	3366
189	18273	3269
190	18366	3173
191	18464	3077
192	18555	2980
193	18649	2883
194	18745	2787
195	18843	2691
196	18938	2595
197	19036	2499
198	19129	2403
199	19233	2308
200	19327	2211
201	19422	2115
202	19518	2019
203	19615	1923
204	19705	1826
205	19800	1730
206	19892	1633
207	19983	1537
208	20076	1440
209	20166	1344
210	20261	1248
211	20353	1152
212	20447	1055
213	20536	959
214	20632	863
215	20729	767
216	20822	671
217	20917	575
218	21008	479
219	21101	383
220	21197	287
221	21310	191
222	21408	96
223	21502	0
